Time resolution is 1 ps
Time: 625000 | CLK: 1 | Reset: 0 | Counter:  62 | PWM Out: 1
Time: 630000 | CLK: 0 | Reset: 0 | Counter:  62 | PWM Out: 1
Time: 635000 | CLK: 1 | Reset: 0 | Counter:  63 | PWM Out: 1
Time: 640000 | CLK: 0 | Reset: 0 | Counter:  63 | PWM Out: 1
Time: 645000 | CLK: 1 | Reset: 0 | Counter:  64 | PWM Out: 1
Time: 650000 | CLK: 0 | Reset: 0 | Counter:  64 | PWM Out: 1
Time: 655000 | CLK: 1 | Reset: 0 | Counter:  65 | PWM Out: 1
Time: 660000 | CLK: 0 | Reset: 0 | Counter:  65 | PWM Out: 1
Time: 665000 | CLK: 1 | Reset: 0 | Counter:  66 | PWM Out: 1
Time: 670000 | CLK:
